BoardSN,CompName,Type,cModel,DLinference_result,directory,ConfirmDefect,MachineDefect,Status,image_name,LightingCondition,image_scantime,BoardRESULT
1.61E+12,C1002_1,032-1113-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_0.97,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1113-000HF~C1002_1~1614919000211_,SolderLight.jpg_LowAngleLight.jpg_UniformLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1015_1,032-0805-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-0805-000HF~C1015_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1016_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1016_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1017_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1017_1~1614919000211_,UniformLight.jpg_SolderLight.jpg_LowAngleLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1018_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1018_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_SolderLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1019_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1019_1~1614919000211_,WhiteLight.jpg_LowAngleLight.jpg_SolderLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C998_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C998_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,D501_1,090-0374-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.66,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~090-0374-000HF~D501_1~1614919000211_,WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,D502_1,090-0203-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~090-0203-000HF~D502_1~1614919000211_,UniformLight.jpg_SolderLight.jpg_WhiteLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,J501_1,080-1730-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~080-1730-000HF~J501_1~1614919000211_,SolderLight.jpg_WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,J502_1,080-1730-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~080-1730-000HF~J502_1~1614919000211_,SolderLight.jpg_UniformLight.jpg_WhiteLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,LB501_1,100-0226-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_0.98,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~100-0226-000HF~LB501_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,LB502_1,100-0226-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~100-0226-000HF~LB502_1~1614919000211_,SolderLight.jpg_LowAngleLight.jpg_WhiteLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,Q502_1,300-1037-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~300-1037-000HF~Q502_1~1614919000211_,SolderLight.jpg_LowAngleLight.jpg_WhiteLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,Q504_1,300-0912-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~300-0912-000HF~Q504_1~1614919000211_,WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,Q505_1,300-1146-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~300-1146-000HF~Q505_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,Q506_1,300-1147-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.47,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~300-1147-000HF~Q506_1~1614919000211_,LowAngleLight.jpg_UniformLight.jpg_WhiteLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,Q507_1,300-0912-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~300-0912-000HF~Q507_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_WhiteLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,R100_1,195-3856-011HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~195-3856-011HF~R100_1~1614919000211_,SolderLight.jpg_UniformLight.jpg_WhiteLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,R792_1,195-2935-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~195-2935-000HF~R792_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,R794_1,195-3530-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~195-3530-000HF~R794_1~1614919000211_,UniformLight.jpg_WhiteLight.jpg_LowAngleLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,RS501_1,215-0323-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.66,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~215-0323-000HF~RS501_1~1614919000211_,SolderLight.jpg_WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,RS502_1,215-0323-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~215-0323-000HF~RS502_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_SolderLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,RS503_1,215-0323-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.67,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~215-0323-000HF~RS503_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_WhiteLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U20_1,315-1086-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.68,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~315-1086-000HF~U20_1~1614919000211_,WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U22_1,315-1086-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~315-1086-000HF~U22_1~1614919000211_,LowAngleLight.jpg_UniformLight.jpg_WhiteLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U501_1,115-2285-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.69,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~115-2285-000HF~U501_1~1614919000211_,SolderLight.jpg_UniformLight.jpg_LowAngleLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U502_1,316-0656-000HF,690-6G189-0600-305RH1_BOT,Insufficient Solder_Hig_0.91,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~316-0656-000HF~U502_1~1614919000211_,UniformLight.jpg_SolderLight.jpg_WhiteLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U503_1,316-0657-000HF,690-6G189-0600-305RH1_BOT,Insufficient Solder_Hig_0.97,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~316-0657-000HF~U503_1~1614919000211_,LowAngleLight.jpg_SolderLight.jpg_UniformLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U504_1,315-1005-000HF,690-6G189-0600-305RH1_BOT,Insufficient Solder_Hig_0.97,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~315-1005-000HF~U504_1~1614919000211_,SolderLight.jpg_UniformLight.jpg_WhiteLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,U514_1,115-2714-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~115-2714-000HF~U514_1~1614919000211_,LowAngleLight.jpg_SolderLight.jpg_WhiteLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,Y501_1,085-0312-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~085-0312-000HF~Y501_1~1614919000211_,SolderLight.jpg_WhiteLight.jpg_UniformLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
